cellid,commid,xcoord,ycoord
166,964,9.20802,45.35967
167,964,9.21102,45.35966
168,964,9.21402,45.35966
169,964,9.21702,45.35965
170,964,9.22002,45.35965
171,964,9.22303,45.35964
172,964,9.22603,45.35964
173,964,9.22903,45.35963
174,964,9.23203,45.35962
175,964,9.23503,45.35962
176,964,9.23803,45.35961
177,964,9.24103,45.35961
178,964,9.24403,45.3596
179,964,9.24703,45.35959
180,964,9.25003,45.35959
181,964,9.25303,45.35958
182,964,9.25603,45.35957
183,964,9.25903,45.35957
184,964,9.26203,45.35956
185,964,9.26503,45.35955
186,964,9.26803,45.35955
187,1386,9.27103,45.35954
188,5437,9.27403,45.35953
189,3380,9.27703,45.35952
190,3380,9.28003,45.35952
191,3380,9.28303,45.35951
192,3380,9.28603,45.3595
193,3380,9.28904,45.35949
194,3380,9.29204,45.35949
195,3380,9.29504,45.35948
196,3380,9.29804,45.35947
197,3380,9.30104,45.35946
198,3380,9.30404,45.35945
199,3380,9.30704,45.35945
200,3380,9.31004,45.35944
201,305,9.01299,45.36197
202,305,9.01599,45.36197
203,305,9.01899,45.36197
204,305,9.02199,45.36197
205,305,9.02499,45.36197
206,305,9.028,45.36197
207,305,9.031,45.36197
208,305,9.034,45.36197
209,305,9.037,45.36197
210,305,9.04,45.36197
211,305,9.043,45.36197
212,305,9.046,45.36197
213,3118,9.049,45.36196
214,3118,9.052,45.36196
215,3633,9.055,45.36196
216,3633,9.058,45.36196
217,3633,9.061,45.36196
218,3633,9.064,45.36196
219,3633,9.067,45.36196
220,3633,9.07,45.36195
221,3633,9.073,45.36195
222,3633,9.076,45.36195
223,3633,9.07901,45.36195
224,3633,9.08201,45.36195
225,3633,9.08501,45.36194
226,3633,9.08801,45.36194
227,3633,9.09101,45.36194
228,3633,9.09401,45.36194
229,3633,9.09701,45.36193
230,3633,9.10001,45.36193
231,3633,9.10301,45.36193
232,3633,9.10601,45.36193
233,3633,9.10901,45.36192
234,3633,9.11201,45.36192
235,3633,9.11501,45.36192
236,3633,9.11801,45.36191
237,1251,9.12101,45.36191
238,1251,9.12401,45.36191
239,1251,9.12701,45.3619
240,1251,9.13002,45.3619
241,1251,9.13302,45.3619
242,1251,9.13602,45.36189
243,147,9.13902,45.36189
244,1251,9.14202,45.36189
245,147,9.14502,45.36188
246,147,9.14802,45.36188
247,147,9.15102,45.36188
248,147,9.15402,45.36187
249,147,9.15702,45.36187
250,147,9.16002,45.36186
251,147,9.16302,45.36186
252,1251,9.16602,45.36185
253,1251,9.16902,45.36185
254,1251,9.17202,45.36185
255,1251,9.17502,45.36184
256,1251,9.17803,45.36184
257,1251,9.18103,45.36183
258,964,9.18403,45.36183
259,964,9.18703,45.36182
260,964,9.19003,45.36182
261,964,9.19303,45.36181
262,964,9.19603,45.36181
263,964,9.19903,45.3618
264,964,9.20203,45.3618
265,964,9.20503,45.36179
266,964,9.20803,45.36179
267,964,9.21103,45.36178
268,964,9.21403,45.36177
269,964,9.21703,45.36177
270,964,9.22003,45.36176
271,964,9.22303,45.36176
272,964,9.22603,45.36175
273,964,9.22903,45.36175
274,964,9.23204,45.36174
275,964,9.23504,45.36173
276,964,9.23804,45.36173
277,964,9.24104,45.36172
278,964,9.24404,45.36171
279,964,9.24704,45.36171
280,964,9.25004,45.3617
281,964,9.25304,45.36169
282,964,9.25604,45.36169
283,964,9.25904,45.36168
284,964,9.26204,45.36167
285,964,9.26504,45.36167
286,1386,9.26804,45.36166
287,2786,9.27104,45.36165
288,2786,9.27404,45.36165
289,4948,9.27704,45.36164
290,7724,9.28004,45.36163
291,3380,9.28304,45.36162
292,3380,9.28605,45.36162
293,3380,9.28905,45.36161
294,3380,9.29205,45.3616
295,3380,9.29505,45.36159
296,3380,9.29805,45.36159
297,3380,9.30105,45.36158
298,3380,9.30405,45.36157
299,3380,9.30705,45.36156
300,3380,9.31005,45.36155
301,3118,9.01299,45.36409
302,3118,9.01599,45.36409
303,305,9.01899,45.36409
304,305,9.02199,45.36409
305,305,9.025,45.36409
306,305,9.028,45.36409
307,305,9.031,45.36409
308,305,9.034,45.36409
309,305,9.037,45.36408
310,305,9.04,45.36408
311,305,9.043,45.36408
312,305,9.046,45.36408
313,3118,9.049,45.36408
314,3118,9.052,45.36408
315,3118,9.055,45.36408
316,3633,9.058,45.36408
317,3633,9.061,45.36407
318,3633,9.064,45.36407
319,3633,9.06701,45.36407
320,3633,9.07001,45.36407
321,3633,9.07301,45.36407
322,3633,9.07601,45.36406
323,3633,9.07901,45.36406
324,3633,9.08201,45.36406
325,3633,9.08501,45.36406
326,3633,9.08801,45.36406
327,3633,9.09101,45.36405
328,3633,9.09401,45.36405
329,3633,9.09701,45.36405
330,3633,9.10001,45.36405
331,3633,9.10301,45.36404
332,3633,9.10601,45.36404
333,3633,9.10902,45.36404
334,3633,9.11202,45.36404
335,3633,9.11502,45.36403
336,3633,9.11802,45.36403
337,1251,9.12102,45.36403
338,1251,9.12402,45.36402
339,1251,9.12702,45.36402
340,1251,9.13002,45.36402
341,1251,9.13302,45.36401
342,1251,9.13602,45.36401
343,1251,9.13902,45.36401
344,1251,9.14202,45.364
345,147,9.14502,45.364
346,147,9.14802,45.36399
347,147,9.15103,45.36399
348,147,9.15403,45.36399
349,147,9.15703,45.36398
350,147,9.16003,45.36398
351,147,9.16303,45.36397
352,1251,9.16603,45.36397
353,1251,9.16903,45.36397
354,1251,9.17203,45.36396
355,1251,9.17503,45.36396
356,1251,9.17803,45.36395
357,1251,9.18103,45.36395
358,1251,9.18403,45.36394
359,964,9.18703,45.36394
360,964,9.19003,45.36393
361,964,9.19304,45.36393
362,964,9.19604,45.36392
363,964,9.19904,45.36392
364,964,9.20204,45.36391
365,964,9.20504,45.36391
366,964,9.20804,45.3639
367,964,9.21104,45.3639
368,964,9.21404,45.36389
369,964,9.21704,45.36388
370,964,9.22004,45.36388
371,964,9.22304,45.36387
372,964,9.22604,45.36387
373,964,9.22904,45.36386
374,964,9.23204,45.36385
375,964,9.23504,45.36385
376,964,9.23805,45.36384
377,964,9.24105,45.36384
378,964,9.24405,45.36383
379,964,9.24705,45.36382
380,964,9.25005,45.36382
381,964,9.25305,45.36381
382,964,9.25605,45.3638
383,964,9.25905,45.3638
384,1386,9.26205,45.36379
385,1386,9.26505,45.36378
386,1386,9.26805,45.36378
387,2786,9.27105,45.36377
388,2786,9.27405,45.36376
389,4948,9.27705,45.36375
390,2786,9.28005,45.36375
391,7724,9.28306,45.36374
392,3380,9.28606,45.36373
393,3380,9.28906,45.36372
394,3380,9.29206,45.36372
395,3380,9.29506,45.36371
396,3380,9.29806,45.3637
397,3380,9.30106,45.36369
398,3380,9.30406,45.36369
399,1794,9.30706,45.36368
400,1794,9.31006,45.36367
401,3118,9.01299,45.3662
402,3118,9.01599,45.3662
403,3118,9.01899,45.3662
404,3118,9.022,45.3662
405,3118,9.025,45.3662
406,3118,9.028,45.3662
407,3118,9.031,45.3662
408,305,9.034,45.3662
409,305,9.037,45.3662
410,3118,9.04,45.3662
411,3118,9.043,45.3662
412,3118,9.046,45.3662
413,3118,9.049,45.36619
414,3118,9.052,45.36619
415,3118,9.055,45.36619
416,3118,9.05801,45.36619
417,3633,9.06101,45.36619
418,3633,9.06401,45.36619
419,3633,9.06701,45.36619
420,3633,9.07001,45.36618
421,3633,9.07301,45.36618
422,3633,9.07601,45.36618
423,3633,9.07901,45.36618
424,3633,9.08201,45.36618
425,3633,9.08501,45.36617
426,3633,9.08801,45.36617
427,3633,9.09101,45.36617
428,3633,9.09402,45.36617
429,3633,9.09702,45.36616
430,3633,9.10002,45.36616
431,3633,9.10302,45.36616
432,3633,9.10602,45.36616
433,3633,9.10902,45.36615
434,3633,9.11202,45.36615
435,3633,9.11502,45.36615
436,3633,9.11802,45.36614
437,1251,9.12102,45.36614
438,1251,9.12402,45.36614
439,1251,9.12702,45.36613
440,1251,9.13003,45.36613
441,1251,9.13303,45.36613
442,1251,9.13603,45.36612
443,1251,9.13903,45.36612
444,1251,9.14203,45.36612
445,1251,9.14503,45.36611
446,147,9.14803,45.36611
447,1251,9.15103,45.36611
448,147,9.15403,45.3661
449,147,9.15703,45.3661
450,147,9.16003,45.36609
451,1251,9.16303,45.36609
452,1251,9.16604,45.36608
453,1251,9.16904,45.36608
454,1251,9.17204,45.36608
455,1251,9.17504,45.36607
456,1251,9.17804,45.36607
457,1251,9.18104,45.36606
458,1251,9.18404,45.36606
459,964,9.18704,45.36605
460,964,9.19004,45.36605
461,964,9.19304,45.36604
462,964,9.19604,45.36604
463,964,9.19904,45.36603
464,964,9.20204,45.36603
465,964,9.20505,45.36602
466,964,9.20805,45.36602
467,964,9.21105,45.36601
468,964,9.21405,45.366
469,964,9.21705,45.366
470,964,9.22005,45.36599
471,964,9.22305,45.36599
472,964,9.22605,45.36598
473,964,9.22905,45.36598
474,964,9.23205,45.36597
475,964,9.23505,45.36596
476,964,9.23805,45.36596
477,964,9.24106,45.36595
478,964,9.24406,45.36594
479,964,9.24706,45.36594
480,964,9.25006,45.36593
481,964,9.25306,45.36593
482,964,9.25606,45.36592
483,1386,9.25906,45.36591
484,1386,9.26206,45.3659
485,1386,9.26506,45.3659
486,2786,9.26806,45.36589
487,2786,9.27106,45.36588
488,2786,9.27406,45.36588
489,2786,9.27706,45.36587
490,2786,9.28007,45.36586
491,2786,9.28307,45.36585
492,2786,9.28607,45.36585
493,3380,9.28907,45.36584
494,3380,9.29207,45.36583
495,3380,9.29507,45.36582
496,1794,9.29807,45.36582
497,1794,9.30107,45.36581
498,1794,9.30407,45.3658
499,1794,9.30707,45.36579
500,1794,9.31007,45.36578
501,3118,9.01299,45.36832
502,3118,9.01599,45.36832
503,3118,9.019,45.36832
504,3118,9.022,45.36832
505,3118,9.025,45.36832
506,3118,9.028,45.36832
507,3118,9.031,45.36832
508,3118,9.034,45.36832
509,3118,9.037,45.36831
510,3118,9.04,45.36831
511,3118,9.043,45.36831
512,3118,9.046,45.36831
513,3118,9.049,45.36831
514,3118,9.05201,45.36831
515,3118,9.05501,45.36831
516,3118,9.05801,45.36831
517,3633,9.06101,45.3683
518,3633,9.06401,45.3683
519,3633,9.06701,45.3683
520,3633,9.07001,45.3683
521,3633,9.07301,45.3683
522,3633,9.07601,45.3683
523,3633,9.07901,45.36829
524,3633,9.08202,45.36829
525,3633,9.08502,45.36829
526,3633,9.08802,45.36829
527,3633,9.09102,45.36828
528,3633,9.09402,45.36828
529,3633,9.09702,45.36828
530,3633,9.10002,45.36828
531,3633,9.10302,45.36827
532,3633,9.10602,45.36827
533,3633,9.10902,45.36827
534,3633,9.11202,45.36827
535,3633,9.11503,45.36826
536,1251,9.11803,45.36826
537,1251,9.12103,45.36826
538,1251,9.12403,45.36825
539,1251,9.12703,45.36825
540,1251,9.13003,45.36825
541,1251,9.13303,45.36824
542,1251,9.13603,45.36824
543,1251,9.13903,45.36824
544,1251,9.14203,45.36823
545,1251,9.14503,45.36823
546,1251,9.14804,45.36822
547,1251,9.15104,45.36822
548,1251,9.15404,45.36822
549,1251,9.15704,45.36821
550,1251,9.16004,45.36821
551,1251,9.16304,45.3682
552,1251,9.16604,45.3682
553,1251,9.16904,45.3682
554,1251,9.17204,45.36819
555,1251,9.17504,45.36819
556,1251,9.17804,45.36818
557,1251,9.18105,45.36818
558,1251,9.18405,45.36817
559,1251,9.18705,45.36817
560,1251,9.19005,45.36816
561,964,9.19305,45.36816
562,964,9.19605,45.36815
563,964,9.19905,45.36815
564,964,9.20205,45.36814
565,964,9.20505,45.36814
566,964,9.20805,45.36813
567,964,9.21105,45.36813
568,964,9.21406,45.36812
569,964,9.21706,45.36811
570,964,9.22006,45.36811
571,964,9.22306,45.3681
572,964,9.22606,45.3681
573,964,9.22906,45.36809
574,964,9.23206,45.36809
575,964,9.23506,45.36808
576,964,9.23806,45.36807
577,964,9.24106,45.36807
578,964,9.24406,45.36806
579,964,9.24707,45.36805
580,964,9.25007,45.36805
581,964,9.25307,45.36804
582,1386,9.25607,45.36803
583,1386,9.25907,45.36803
584,1386,9.26207,45.36802
585,1386,9.26507,45.36801
586,2786,9.26807,45.36801
587,2786,9.27107,45.368
588,2786,9.27407,45.36799
589,2786,9.27707,45.36798
590,2786,9.28008,45.36798
591,2786,9.28308,45.36797
592,2786,9.28608,45.36796
593,2786,9.28908,45.36796
594,2786,9.29208,45.36795
595,1794,9.29508,45.36794
596,1794,9.29808,45.36793
597,1794,9.30108,45.36792
598,1794,9.30408,45.36792
599,1794,9.30708,45.36791
600,1794,9.31008,45.3679
601,3118,9.01299,45.37044
602,3118,9.01599,45.37044
603,3118,9.019,45.37043
604,3118,9.022,45.37043
605,3118,9.025,45.37043
606,3118,9.028,45.37043
607,3118,9.031,45.37043
608,3118,9.034,45.37043
609,3118,9.037,45.37043
610,3118,9.04,45.37043
611,3118,9.043,45.37043
612,3118,9.04601,45.37043
613,3118,9.04901,45.37043
614,3118,9.05201,45.37042
615,3118,9.05501,45.37042
616,3118,9.05801,45.37042
617,3633,9.06101,45.37042
618,3633,9.06401,45.37042
619,3633,9.06701,45.37042
620,3633,9.07001,45.37041
621,3633,9.07302,45.37041
622,3633,9.07602,45.37041
623,3633,9.07902,45.37041
624,3633,9.08202,45.37041
625,3633,9.08502,45.3704
626,3633,9.08802,45.3704
627,3633,9.09102,45.3704
628,3633,9.09402,45.3704
629,3633,9.09702,45.37039
630,3633,9.10002,45.37039
631,3633,9.10303,45.37039
632,3633,9.10603,45.37039
633,3633,9.10903,45.37038
634,3633,9.11203,45.37038
635,3633,9.11503,45.37038
636,1251,9.11803,45.37038
637,1251,9.12103,45.37037
638,1251,9.12403,45.37037
639,1251,9.12703,45.37037
640,1251,9.13003,45.37036
641,1251,9.13304,45.37036
642,1251,9.13604,45.37036
643,1251,9.13904,45.37035
644,1251,9.14204,45.37035
645,1251,9.14504,45.37034
646,1251,9.14804,45.37034
647,1251,9.15104,45.37034
648,1251,9.15404,45.37033
649,1251,9.15704,45.37033
650,1251,9.16005,45.37032
651,1251,9.16305,45.37032
652,1251,9.16605,45.37032
653,1251,9.16905,45.37031
654,1251,9.17205,45.37031
655,1251,9.17505,45.3703
656,1251,9.17805,45.3703
657,1251,9.18105,45.37029
658,1251,9.18405,45.37029
659,1251,9.18705,45.37028
660,1251,9.19006,45.37028
661,1251,9.19306,45.37027
662,964,9.19606,45.37027
663,964,9.19906,45.37026
664,964,9.20206,45.37026
665,964,9.20506,45.37025
666,964,9.20806,45.37025
667,964,9.21106,45.37024
668,964,9.21406,45.37024
669,964,9.21706,45.37023
670,964,9.22007,45.37022
671,964,9.22307,45.37022
672,964,9.22607,45.37021
673,964,9.22907,45.37021
674,964,9.23207,45.3702
675,964,9.23507,45.37019
676,964,9.23807,45.37019
677,964,9.24107,45.37018
678,964,9.24407,45.37018
679,964,9.24708,45.37017
680,964,9.25008,45.37016
681,1386,9.25308,45.37016
682,1386,9.25608,45.37015
683,1386,9.25908,45.37014
684,1386,9.26208,45.37014
685,2786,9.26508,45.37013
686,2786,9.26808,45.37012
687,2786,9.27108,45.37011
688,2786,9.27408,45.37011
689,2786,9.27709,45.3701
690,2786,9.28009,45.37009
691,2786,9.28309,45.37009
692,2786,9.28609,45.37008
693,2786,9.28909,45.37007
694,1794,9.29209,45.37006
695,1794,9.29509,45.37005
696,1794,9.29809,45.37005
697,1794,9.30109,45.37004
698,1794,9.30409,45.37003
699,1794,9.3071,45.37002
700,1794,9.3101,45.37002
701,3118,9.01299,45.37255
702,3118,9.016,45.37255
703,3118,9.019,45.37255
704,3118,9.022,45.37255
705,3118,9.025,45.37255
706,3118,9.028,45.37255
707,3118,9.031,45.37255
708,3118,9.034,45.37255
709,3118,9.037,45.37255
710,3118,9.04,45.37254
711,3118,9.04301,45.37254
712,7240,9.04601,45.37254
713,7240,9.04901,45.37254
714,3118,9.05201,45.37254
715,3118,9.05501,45.37254
716,3118,9.05801,45.37254
717,3118,9.06101,45.37254
718,3633,9.06401,45.37253
719,3633,9.06702,45.37253
720,3633,9.07002,45.37253
721,3633,9.07302,45.37253
722,3633,9.07602,45.37253
723,3633,9.07902,45.37252
724,3633,9.08202,45.37252
725,3633,9.08502,45.37252
726,3633,9.08802,45.37252
727,3633,9.09102,45.37252
728,3633,9.09403,45.37251
729,3633,9.09703,45.37251
730,3633,9.10003,45.37251
731,3633,9.10303,45.3725
732,3633,9.10603,45.3725
733,3633,9.10903,45.3725
734,3633,9.11203,45.3725
735,1251,9.11503,45.37249
736,1251,9.11804,45.37249
737,1251,9.12104,45.37249
738,1251,9.12404,45.37248
739,1251,9.12704,45.37248
740,1251,9.13004,45.37248
741,1251,9.13304,45.37247
742,1251,9.13604,45.37247
743,1251,9.13904,45.37247
744,1251,9.14204,45.37246
745,1251,9.14505,45.37246
746,1251,9.14805,45.37246
747,1251,9.15105,45.37245
748,1251,9.15405,45.37245
749,1251,9.15705,45.37244
750,1251,9.16005,45.37244
751,1251,9.16305,45.37244
752,1251,9.16605,45.37243
753,1251,9.16905,45.37243
754,1251,9.17206,45.37242
755,1251,9.17506,45.37242
756,1251,9.17806,45.37241
757,1251,9.18106,45.37241
758,1251,9.18406,45.3724
759,1251,9.18706,45.3724
760,1251,9.19006,45.37239
761,964,9.19306,45.37239
762,964,9.19607,45.37238
763,964,9.19907,45.37238
764,964,9.20207,45.37237
765,964,9.20507,45.37237
766,964,9.20807,45.37236
767,964,9.21107,45.37236
768,964,9.21407,45.37235
769,964,9.21707,45.37235
770,964,9.22007,45.37234
771,964,9.22308,45.37233
772,964,9.22608,45.37233
773,964,9.22908,45.37232
774,964,9.23208,45.37232
775,964,9.23508,45.37231
776,964,9.23808,45.3723
777,964,9.24108,45.3723
778,964,9.24408,45.37229
779,964,9.24708,45.37228
780,964,9.25009,45.37228
781,1386,9.25309,45.37227
782,1386,9.25609,45.37226
783,1386,9.25909,45.37226
784,1386,9.26209,45.37225
785,2786,9.26509,45.37224
786,2786,9.26809,45.37224
787,2786,9.27109,45.37223
788,2786,9.27409,45.37222
789,2786,9.2771,45.37222
790,2786,9.2801,45.37221
791,2786,9.2831,45.3722
792,2786,9.2861,45.37219
793,2786,9.2891,45.37219
794,1794,9.2921,45.37218
795,1794,9.2951,45.37217
796,1794,9.2981,45.37216
797,1794,9.3011,45.37215
798,1794,9.30411,45.37215
799,1794,9.30711,45.37214
800,1794,9.31011,45.37213
801,3118,9.01299,45.37467
802,3118,9.016,45.37467
803,3118,9.019,45.37467
804,3118,9.022,45.37466
805,3118,9.025,45.37466
806,3118,9.028,45.37466
807,3118,9.031,45.37466
808,3118,9.034,45.37466
809,3118,9.03701,45.37466
810,3118,9.04001,45.37466
811,3118,9.04301,45.37466
812,3118,9.04601,45.37466
813,3118,9.04901,45.37466
814,6015,9.05201,45.37465
815,3118,9.05501,45.37465
816,3118,9.05801,45.37465
817,3118,9.06102,45.37465
818,3633,9.06402,45.37465
819,3633,9.06702,45.37465
820,3633,9.07002,45.37465
821,3633,9.07302,45.37464
822,3633,9.07602,45.37464
823,3633,9.07902,45.37464
824,3633,9.08202,45.37464
825,3633,9.08503,45.37464
826,3633,9.08803,45.37463
827,3633,9.09103,45.37463
828,3633,9.09403,45.37463
829,3633,9.09703,45.37463
830,3633,9.10003,45.37462
831,6634,9.10303,45.37462
832,3633,9.10603,45.37462
833,3633,9.10904,45.37461
834,3633,9.11204,45.37461
835,1251,9.11504,45.37461
836,1251,9.11804,45.37461
837,1251,9.12104,45.3746
838,1251,9.12404,45.3746
839,1251,9.12704,45.3746
840,1251,9.13004,45.37459
841,1251,9.13305,45.37459
842,1251,9.13605,45.37459
843,1251,9.13905,45.37458
844,1251,9.14205,45.37458
845,1251,9.14505,45.37457
846,1251,9.14805,45.37457
847,1251,9.15105,45.37457
848,1251,9.15405,45.37456
849,1251,9.15706,45.37456
850,1251,9.16006,45.37455
851,1251,9.16306,45.37455
852,1251,9.16606,45.37455
853,1251,9.16906,45.37454
854,1251,9.17206,45.37454
855,1251,9.17506,45.37453
856,1251,9.17806,45.37453
857,1251,9.18107,45.37452
858,1251,9.18407,45.37452
859,964,9.18707,45.37451
860,964,9.19007,45.37451
861,964,9.19307,45.3745
862,964,9.19607,45.3745
863,964,9.19907,45.37449
864,964,9.20207,45.37449
865,964,9.20508,45.37448
866,964,9.20808,45.37448
867,964,9.21108,45.37447
868,964,9.21408,45.37447
869,964,9.21708,45.37446
870,964,9.22008,45.37445
871,964,9.22308,45.37445
872,964,9.22608,45.37444
873,964,9.22909,45.37444
874,964,9.23209,45.37443
875,964,9.23509,45.37442
876,964,9.23809,45.37442
877,964,9.24109,45.37441
878,964,9.24409,45.37441
879,964,9.24709,45.3744
880,1386,9.25009,45.37439
881,1386,9.2531,45.37439
882,1386,9.2561,45.37438
883,1386,9.2591,45.37437
884,1386,9.2621,45.37437
885,2786,9.2651,45.37436
886,2786,9.2681,45.37435
887,2786,9.2711,45.37435
888,2786,9.2741,45.37434
889,2786,9.27711,45.37433
890,2786,9.28011,45.37432
891,2786,9.28311,45.37432
892,2786,9.28611,45.37431
893,1794,9.28911,45.3743
894,1794,9.29211,45.37429
895,1794,9.29511,45.37429
896,1794,9.29811,45.37428
897,1794,9.30112,45.37427
898,1794,9.30412,45.37426
899,1794,9.30712,45.37425
900,1794,9.31012,45.37425
901,3118,9.013,45.37678
902,3118,9.016,45.37678
903,3118,9.019,45.37678
904,3118,9.022,45.37678
905,3118,9.025,45.37678
906,3118,9.028,45.37678
907,3118,9.031,45.37678
908,3118,9.03401,45.37678
909,3118,9.03701,45.37678
910,3118,9.04001,45.37678
911,3118,9.04301,45.37677
912,3118,9.04601,45.37677
913,3118,9.04901,45.37677
914,3118,9.05201,45.37677
915,3118,9.05501,45.37677
916,3118,9.05802,45.37677
917,3118,9.06102,45.37677
918,3633,9.06402,45.37676
919,3633,9.06702,45.37676
920,3633,9.07002,45.37676
921,3633,9.07302,45.37676
922,3633,9.07602,45.37676
923,3633,9.07903,45.37675
924,3633,9.08203,45.37675
925,3633,9.08503,45.37675
926,3633,9.08803,45.37675
927,3633,9.09103,45.37675
928,3633,9.09403,45.37674
929,3633,9.09703,45.37674
930,3633,9.10004,45.37674
931,3633,9.10304,45.37674
932,3633,9.10604,45.37673
933,3633,9.10904,45.37673
934,1251,9.11204,45.37673
935,1251,9.11504,45.37672
936,1251,9.11804,45.37672
937,1251,9.12105,45.37672
938,1251,9.12405,45.37671
939,1251,9.12705,45.37671
940,1251,9.13005,45.37671
941,1251,9.13305,45.3767
942,1251,9.13605,45.3767
943,1251,9.13905,45.3767
944,1251,9.14205,45.37669
945,1251,9.14506,45.37669
946,1251,9.14806,45.37669
947,1251,9.15106,45.37668
948,1251,9.15406,45.37668
949,1251,9.15706,45.37667
950,1251,9.16006,45.37667
951,1251,9.16306,45.37667
952,1251,9.16607,45.37666
953,1251,9.16907,45.37666
954,1251,9.17207,45.37665
955,1251,9.17507,45.37665
956,1251,9.17807,45.37664
957,1251,9.18107,45.37664
958,1251,9.18407,45.37663
959,964,9.18708,45.37663
960,964,9.19008,45.37662
